My Design - Energy Use| Total,My Design - Fuel Use| Electricity: Total,My Design - Fuel Use| Natural Gas: Total,My Design - End Use| Electricity: Heating,My Design - End Use| Electricity: Heating Heat Pump Backup,My Design - End Use| Electricity: Heating Fans/Pumps,My Design - End Use| Electricity: Cooling,My Design - End Use| Electricity: Cooling Fans/Pumps,My Design - End Use| Electricity: Lighting Interior,My Design - End Use| Electricity: Lighting Exterior,My Design - End Use| Electricity: Mech Vent,My Design - End Use| Electricity: Refrigerator,My Design - End Use| Electricity: Dishwasher,My Design - End Use| Electricity: Clothes Washer,My Design - End Use| Electricity: Clothes Dryer,My Design - End Use| Electricity: Range/Oven,My Design - End Use| Electricity: Television,My Design - End Use| Electricity: Plug Loads,My Design - End Use| Natural Gas: Hot Water,My Design - Emissions| CO2e: BEopt: Total,My Design - Emissions| CO2e: BEopt: Electricity: Total,My Design - Emissions| CO2e: BEopt: Natural Gas: Total,My Design - Emissions| CO2e: BEopt: Electricity: Heating,My Design - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,My Design - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Cooling,My Design - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Interior,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,My Design - Emissions| CO2e: BEopt: Electricity: Mech Vent,My Design - Emissions| CO2e: BEopt: Electricity: Refrigerator,My Design - Emissions| CO2e: BEopt: Electricity: Dishwasher,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Washer,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,My Design - Emissions| CO2e: BEopt: Electricity: Range/Oven,My Design - Emissions| CO2e: BEopt: Electricity: Television,My Design - Emissions| CO2e: BEopt: Electricity: Plug Loads,My Design - Emissions| CO2e: BEopt: Natural Gas: Hot Water,My Design - Hot Water| Clothes Washer,My Design - Hot Water| Dishwasher,My Design - Hot Water| Fixtures,My Design - Hot Water| Distribution Waste,My Design - Load| Heating: Delivered,My Design - Load| Cooling: Delivered,My Design - Load| Hot Water: Delivered,My Design - Component Load| Heating: Roofs,My Design - Component Load| Heating: Ceilings,My Design - Component Load| Heating: Walls,My Design - Component Load| Heating: Doors,My Design - Component Load| Heating: Windows,My Design - Component Load| Heating: Slabs,My Design - Component Load| Heating: Internal Mass,My Design - Component Load| Heating: Infiltration,My Design - Component Load| Heating: Mechanical Ventilation,My Design - Component Load| Heating: Ducts,My Design - Component Load| Heating: Internal Gains,My Design - Component Load| Cooling: Roofs,My Design - Component Load| Cooling: Ceilings,My Design - Component Load| Cooling: Walls,My Design - Component Load| Cooling: Doors,My Design - Component Load| Cooling: Windows,My Design - Component Load| Cooling: Slabs,My Design - Component Load| Cooling: Internal Mass,My Design - Component Load| Cooling: Infiltration,My Design - Component Load| Cooling: Natural Ventilation,My Design - Component Load| Cooling: Mechanical Ventilation,My Design - Component Load| Cooling: Ducts,My Design - Component Load| Cooling: Internal Gains,My Design - Unmet Hours| Heating,My Design - Unmet Hours| Cooling,My Design - Temperature| Attic - Unvented,My Design - Temperature| Living Space,My Design - Temperature| Heating Setpoint,My Design - Temperature| Cooling Setpoint,My Design - Airflow| Infiltration,My Design - Airflow| Mechanical Ventilation,My Design - Airflow| Natural Ventilation,My Design - Weather| Drybulb Temperature,My Design - Weather| Wetbulb Temperature,My Design - Weather| Relative Humidity,My Design - Weather| Wind Speed,My Design - Weather| Diffuse Solar Radiation,My Design - Weather| Direct Solar Radiation
31.27,8.25,3.1,1.4,5.86,0.2,0,0,0.19,0.01,0.02,0.04,0.02,0.01,0.11,0.06,0.09,0.25,3.1,4.73754,4.28017,0.45737,0.72406,3.03915,0.10227,0,0,0.1005,0.00541,0.00898,0.02113,0.00947,0.00507,0.05497,0.0334,0.04731,0.12845,0.45737,0.22,0.2,2.46,0.87,30.17,0,2.47,0.47,-3.69,9.84,0.23,2.25,3.45,0.41,8.05,4.22,7.19,-2.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.49,72.56,73,76,107.62,56.29,0,10.04,8.05,61,27.74,32.65,113.8
31.21,8.25,3.07,1.4,5.86,0.2,0,0,0.18,0.01,0.02,0.04,0.02,0.01,0.12,0.06,0.09,0.25,3.07,4.72902,4.27747,0.45156,0.72451,3.03915,0.10227,0,0,0.0956,0.00519,0.00898,0.02062,0.00816,0.00495,0.06305,0.02923,0.04731,0.12845,0.45156,0.22,0.17,2,0.7,30.26,0,2.03,0.46,-3.76,9.29,0.23,3.47,3.12,0.04,8.26,4.29,7.21,-2.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.73,72.44,73,76,110.83,57.29,0,10.04,8.05,61,28.86,72.59,17.43
29.74,8.27,1.51,1.41,5.86,0.2,0,0,0.17,0.01,0.02,0.04,0.01,0.01,0.13,0.07,0.09,0.25,1.51,4.51145,4.28843,0.22302,0.72999,3.03915,0.10227,0,0,0.0907,0.00519,0.00898,0.02062,0.00699,0.00442,0.06548,0.0348,0.04841,0.13144,0.22302,0.19,0.14,1.57,0.55,30.24,0,1.61,0.44,-3.9,8.89,0.22,4.17,3.03,-0.21,7.24,4.22,7.15,-2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,72.81,73,76,98.4,57.59,0,10.94,8.55,55,25.28,71.32,3.17
31.25,8.28,2.99,1.42,5.86,0.2,0,0,0.17,0.01,0.02,0.04,0.01,0.01,0.12,0.08,0.1,0.26,2.99,4.73413,4.29326,0.44087,0.734,3.03915,0.10227,0,0,0.08825,0.00562,0.00898,0.02165,0.00597,0.00395,0.05982,0.03967,0.04951,0.13443,0.44087,0.17,0.12,1.13,0.4,30.41,0,1.2,0.49,-3.84,9.16,0.21,3.39,3.44,0.39,7.67,4.11,7.19,-2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.09,72.93,73,76,106.07,56.89,0,12.02,9.41,53,27.74,68.47,47.55
29.68,8.26,1.49,1.43,5.86,0.2,0,0,0.17,0.01,0.02,0.04,0.01,0.01,0.1,0.06,0.1,0.26,1.49,4.50298,4.28364,0.21934,0.73918,3.03915,0.10227,0,0,0.0858,0.00627,0.00898,0.02165,0.0067,0.00354,0.05416,0.03201,0.04951,0.13443,0.21934,0.16,0.14,0.96,0.34,30.69,0,1.05,0.48,-3.9,9.09,0.21,3.49,3.41,0.39,8.38,4,7.21,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.35,72.92,73,76,117.81,56.19,0,12.92,10.11,51,31.09,63.4,37.09
28.83,8.01,1.48,1.42,5.62,0.2,0,0,0.17,0.01,0.02,0.04,0.01,0.01,0.09,0.08,0.09,0.25,1.48,4.37411,4.15556,0.21855,0.73871,2.91282,0.10227,0,0,0.0907,0.00671,0.00898,0.02165,0.00524,0.00289,0.04608,0.03967,0.04841,0.13144,0.21855,0.13,0.11,0.87,0.3,29.79,0,0.92,0.46,-3.98,8.94,0.21,3.58,3.44,0.27,7.58,3.93,7.25,-2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.58,72.99,73,76,106.42,55.19,0,12.92,10.51,58,27.74,39.31,53.89
26.51,7.34,1.48,1.44,4.9,0.2,0,0,0.19,0.01,0.02,0.04,0.01,0.01,0.1,0.06,0.1,0.27,1.48,4.02201,3.80359,0.21842,0.74663,2.53994,0.10227,0,0,0.1005,0.00757,0.00898,0.02113,0.00553,0.00306,0.04931,0.03062,0.05061,0.13742,0.21842,0.13,0.11,0.83,0.29,27.69,0,0.9,0.44,-4.08,8.77,0.21,4.93,3.2,-0.07,5.76,3.8,6.88,-2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,73,73,76,84.34,55.59,0,15.08,12.53,59,20.8,25.04,6.02
26.25,7.26,1.49,1.42,4.72,0.2,0,0,0.24,0.02,0.02,0.04,0.01,0.01,0.09,0.12,0.1,0.28,1.49,3.98249,3.76317,0.21932,0.73745,2.44654,0.10227,0,0,0.12256,0.00952,0.00898,0.02268,0.00553,0.00295,0.04446,0.06403,0.05281,0.14339,0.21932,0.13,0.11,1,0.35,26.7,0,1.05,0.43,-4.04,8.71,0.21,5.78,3.12,-0.2,5.24,3.76,6.25,-2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.14,73,73,76,76.7,54.99,0,15.08,13.85,80,17.22,5.71,0.32
27.62,7.65,1.5,1.42,4.93,0.2,0,0,0.31,0.02,0.02,0.05,0.01,0.01,0.08,0.2,0.11,0.3,1.5,4.18934,3.96819,0.22115,0.73541,2.55473,0.10227,0,0,0.15933,0.01211,0.00898,0.02474,0.00714,0.00289,0.04365,0.10439,0.05721,0.15534,0.22115,0.13,0.15,1.3,0.46,27.39,0,1.34,0.43,-3.8,8.78,0.21,6.26,3.1,-0.22,5.98,3.75,6.19,-3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.59,73,73,76,87.54,54.89,0,15.08,14.1,84,21.92,0,0
29.36,8.16,1.51,1.41,5.37,0.2,0,0,0.41,0.03,0.02,0.05,0.02,0.01,0.08,0.16,0.11,0.31,1.51,4.45501,4.23272,0.2223,0.73069,2.7855,0.10227,0,0,0.21081,0.01384,0.00898,0.02577,0.01267,0.00289,0.04123,0.08142,0.05831,0.15833,0.2223,0.13,0.26,1.4,0.49,28.74,0,1.5,0.43,-3.62,8.96,0.21,6.35,3.14,-0.17,6.9,3.74,6.58,-3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.69,73,73,76,100.85,54.59,0,15.08,14.59,92,26.4,0,0
